DATE RECORDED,Playlist Position,album.artists,album.name,duration_ms,id,name,popularity,uri
2021-10-25 21:31:04,37,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF""},""href"":""https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF"",""id"":""4nDoRrQiYLoBzwC5BhVJzF"",""name"":""Camila Cabello"",""type"":""artist"",""uri"":""spotify:artist:4nDoRrQiYLoBzwC5BhVJzF""}]","Don't Go Yet",164842,1058fW9H3fZA6QjYCdOBad,"Don't Go Yet",90,spotify:track:1058fW9H3fZA6QjYCdOBad
2021-10-25 21:31:04,38,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4utLUGcTvOJFr6aqIJtYWV""},""href"":""https://api.spotify.com/v1/artists/4utLUGcTvOJFr6aqIJtYWV"",""id"":""4utLUGcTvOJFr6aqIJtYWV"",""name"":""Skylar Grey"",""type"":""artist"",""uri"":""spotify:artist:4utLUGcTvOJFr6aqIJtYWV""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6AgTAQt8XS6jRWi4sX7w49""},""href"":""https://api.spotify.com/v1/artists/6AgTAQt8XS6jRWi4sX7w49"",""id"":""6AgTAQt8XS6jRWi4sX7w49"",""name"":""Polo G"",""type"":""artist"",""uri"":""spotify:artist:6AgTAQt8XS6jRWi4sX7w49""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR""},""href"":""https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR"",""id"":""7dGJo4pcD2V6oG8kP0tJRR"",""name"":""Eminem"",""type"":""artist"",""uri"":""spotify:artist:7dGJo4pcD2V6oG8kP0tJRR""}]","Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",257368,5W8HXMOMLtXLz0RGKUtnlZ,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",85,spotify:track:5W8HXMOMLtXLz0RGKUtnlZ
2021-10-25 21:31:04,39,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV""},""href"":""https://api.spotify.com/v1/artists/6EPlBSH2RSiettczlz7ihV"",""id"":""6EPlBSH2RSiettczlz7ihV"",""name"":""Sleepy Hallow"",""type"":""artist"",""uri"":""spotify:artist:6EPlBSH2RSiettczlz7ihV""}]",Still Sleep?,123986,4XvcHTUfIlWfyJTRG0aqlo,2055,88,spotify:track:4XvcHTUfIlWfyJTRG0aqlo
2021-10-25 21:31:04,40,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/2kCO8LXN1usaOPL3iEE28I""},""href"":""https://api.spotify.com/v1/artists/2kCO8LXN1usaOPL3iEE28I"",""id"":""2kCO8LXN1usaOPL3iEE28I"",""name"":""Tai Verdes"",""type"":""artist"",""uri"":""spotify:artist:2kCO8LXN1usaOPL3iEE28I""}]",TV,173640,1sx0XsWUusUoPstbvokZjP,A-O-K,77,spotify:track:1sx0XsWUusUoPstbvokZjP
2021-10-25 21:31:05,41,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0lAWpj5szCSwM4rUMHYmrr""},""href"":""https://api.spotify.com/v1/artists/0lAWpj5szCSwM4rUMHYmrr"",""id"":""0lAWpj5szCSwM4rUMHYmrr"",""name"":""Måneskin"",""type"":""artist"",""uri"":""spotify:artist:0lAWpj5szCSwM4rUMHYmrr""}]",MAMMAMIA,186809,78SCmQ8A7KQSMdkem2SwBP,MAMMAMIA,84,spotify:track:78SCmQ8A7KQSMdkem2SwBP
2021-10-25 21:31:05,42,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4qXC0i02bSFstECuXP2ZpL""},""href"":""https://api.spotify.com/v1/artists/4qXC0i02bSFstECuXP2ZpL"",""id"":""4qXC0i02bSFstECuXP2ZpL"",""name"":""Blxst"",""type"":""artist"",""uri"":""spotify:artist:4qXC0i02bSFstECuXP2ZpL""}]",No Love Lost (Deluxe),161684,1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),87,spotify:track:1dIWPXMX4kRHj6Dt2DStUQ
2021-10-25 21:31:05,43,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x""},""href"":""https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x"",""id"":""5K4W6rqBFWDnAN6FQUkS6x"",""name"":""Kanye West"",""type"":""artist"",""uri"":""spotify:artist:5K4W6rqBFWDnAN6FQUkS6x""}]",Donda,243187,0RbW8kWozrVSIGb4V13o0o,Hurricane,86,spotify:track:0RbW8kWozrVSIGb4V13o0o
2021-10-25 21:31:05,44,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1FtBEIWAwvw5ymBen5GICR""},""href"":""https://api.spotify.com/v1/artists/1FtBEIWAwvw5ymBen5GICR"",""id"":""1FtBEIWAwvw5ymBen5GICR"",""name"":""Chlöe"",""type"":""artist"",""uri"":""spotify:artist:1FtBEIWAwvw5ymBen5GICR""}]",Have Mercy,148778,5SixeLvPsYpk7qq9lo5xYg,Have Mercy,86,spotify:track:5SixeLvPsYpk7qq9lo5xYg
2021-10-25 21:31:05,45,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/78rUTD7y6Cy67W1RVzYs7t""},""href"":""https://api.spotify.com/v1/artists/78rUTD7y6Cy67W1RVzYs7t"",""id"":""78rUTD7y6Cy67W1RVzYs7t"",""name"":""PinkPantheress"",""type"":""artist"",""uri"":""spotify:artist:78rUTD7y6Cy67W1RVzYs7t""}]",Just for me,115800,6OTKVgVpVaVjhRLYizPJKA,Just for me,83,spotify:track:6OTKVgVpVaVjhRLYizPJKA
2021-10-25 21:31:05,46,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7okSU80WTrn4LXlyXYbX3P""},""href"":""https://api.spotify.com/v1/artists/7okSU80WTrn4LXlyXYbX3P"",""id"":""7okSU80WTrn4LXlyXYbX3P"",""name"":""Clinton Kane"",""type"":""artist"",""uri"":""spotify:artist:7okSU80WTrn4LXlyXYbX3P""}]","I GUESS I'M IN LOVE",204093,1is8gU4RVcN4J8xItxWoOY,"I GUESS I'M IN LOVE",88,spotify:track:1is8gU4RVcN4J8xItxWoOY
